,C,gamma,err_train,err_val,time
0,1,0.05,0.0008399999999999519,0.017900000000000027,1434.651329278946
0,10,0.05,0.0,0.016700000000000048,1384.6473729610443
0,0.01,0.05,0.19025999999999998,0.1713,4801.993683099747
1,0.1,0.05,0.03188000000000002,0.03469999999999995,1987.5000169277191
0,100,0.05,0.0,0.016700000000000048,1223.111742734909
1,1000,0.05,0.0,0.016700000000000048,1221.9729070663452
0,0.01,0.1,0.7843,0.7827999999999999,5307.656332492828
1,0.1,0.1,0.28952,0.3125,4261.2339062690735
0,0.01,0.01,0.09389999999999998,0.08220000000000005,2777.8166403770447
1,0.1,0.01,0.04701999999999995,0.042200000000000015,961.6325259208679
2,1,0.01,0.015260000000000051,0.022299999999999986,424.48264145851135
3,10,0.01,0.0005800000000000249,0.01649999999999996,355.0952043533325
4,100,0.01,0.0,0.016800000000000037,354.70435214042664
5,1000,0.01,0.0,0.016800000000000037,353.84110140800476
0,0.01,0.005,0.11450000000000005,0.10160000000000002,3184.2723870277405
0,1,0.1,4.0000000000040004e-05,0.04479999999999995,7319.008213758469
1,0.1,0.005,0.06320000000000003,0.05610000000000004,1130.0908408164978
2,1,0.005,0.02946000000000004,0.03180000000000005,474.1963675022125
0,10,0.005,0.0044399999999999995,0.01970000000000005,307.92139196395874
1,100,0.005,0.0,0.01970000000000005,300.1521735191345
2,1000,0.005,0.0,0.01990000000000003,300.80543541908264
1,10,0.1,0.0,0.043399999999999994,7550.860908031464
0,0.01,0.001,0.25373999999999997,0.2279,5184.971562623978
2,100,0.1,0.0,0.043399999999999994,7523.97554564476
1,0.1,0.001,0.09824,0.08609999999999995,1979.82177734375
2,1,0.001,0.06422000000000005,0.05889999999999995,766.9814963340759
3,10,0.001,0.037939999999999974,0.04079999999999995,395.3813986778259
4,100,0.001,0.009419999999999984,0.028200000000000003,315.4152591228485
5,1000,0.001,7.999999999996898e-05,0.02849999999999997,314.1558380126953
3,1000,0.1,0.0,0.043399999999999994,7547.149227142334
