,C,gamma,err_train,err_val,time
0,0.01,0.001,0.25374,0.2279,5184.971562623979
1,0.01,0.005,0.11450000000000005,0.10160000000000002,3184.2723870277405
2,0.01,0.01,0.09389999999999997,0.08220000000000005,2777.816640377045
3,0.01,0.05,0.19026,0.1713,4801.993683099747
4,0.01,0.1,0.7843,0.7827999999999999,5307.6563324928275
5,0.1,0.001,0.09824,0.08609999999999995,1979.82177734375
6,0.1,0.005,0.06320000000000002,0.05610000000000004,1130.0908408164978
7,0.1,0.01,0.04701999999999995,0.04220000000000002,961.632525920868
8,0.1,0.05,0.03188000000000002,0.03469999999999995,1987.5000169277191
9,0.1,0.1,0.28952,0.3125,4261.2339062690735
10,1.0,0.001,0.06422000000000005,0.05889999999999995,766.9814963340759
11,1.0,0.005,0.029460000000000038,0.03180000000000005,474.1963675022125
12,1.0,0.01,0.015260000000000053,0.022299999999999983,424.48264145851135
13,1.0,0.05,0.0008399999999999519,0.017900000000000027,1434.651329278946
14,1.0,0.1,4.0000000000040004e-05,0.04479999999999995,7319.0082137584695
15,10.0,0.001,0.03793999999999997,0.04079999999999995,395.38139867782587
16,10.0,0.005,0.00444,0.01970000000000005,307.92139196395874
17,10.0,0.01,0.0005800000000000249,0.01649999999999996,355.0952043533325
18,10.0,0.05,0.0,0.016700000000000048,1384.6473729610445
19,10.0,0.1,0.0,0.0434,7550.860908031464
20,100.0,0.001,0.009419999999999984,0.028200000000000006,315.4152591228485
21,100.0,0.005,0.0,0.01970000000000005,300.15217351913446
22,100.0,0.01,0.0,0.016800000000000037,354.70435214042664
23,100.0,0.05,0.0,0.016700000000000048,1223.111742734909
24,100.0,0.1,0.0,0.0434,7523.975545644759
25,1000.0,0.001,7.999999999996898e-05,0.02849999999999997,314.1558380126953
26,1000.0,0.005,0.0,0.019900000000000032,300.80543541908264
27,1000.0,0.01,0.0,0.016800000000000037,353.8411014080048
28,1000.0,0.05,0.0,0.016700000000000048,1221.9729070663452
29,1000.0,0.1,0.0,0.0434,7547.149227142334
